hour,day_of_week,previous_occupancy,current_occupancy,traffic_level,weather,event_level,parking_price,total_spaces,occupancy_percentage
23,5,31.6,47.21,3,3,2,2.27,11,55.0
22,5,75.5,73.8,2,0,2,4.59,94,55.55
21,6,33.38,30.51,1,1,2,5.08,86,22.33
23,0,28.19,36.55,3,1,0,1.84,63,36.54
14,3,58.66,65.65,2,1,2,6.81,44,43.98
7,0,65.4,63.16,1,0,2,7.43,17,51.31
3,1,25.62,17.84,0,1,1,3.21,50,7.48
2,2,22.53,0.3,0,1,0,2.46,17,0.0
22,6,56.3,44.55,2,3,1,7.19,103,28.97
6,4,61.34,64.55,3,1,0,4.0,94,57.94
0,4,15.11,15.65,3,2,2,3.28,27,27.96
0,0,67.58,50.38,0,1,1,2.18,46,36.1
7,1,19.07,36.06,2,2,1,6.93,94,33.02
23,0,14.26,35.05,2,2,2,2.12,127,35.45
6,6,71.62,71.15,3,3,2,5.5,115,56.82
2,2,59.54,51.7,2,1,0,2.62,142,30.67
16,5,32.25,46.73,0,2,2,3.24,14,39.76
1,0,5.59,9.27,0,1,1,5.9,83,0.0
11,6,31.37,36.5,1,1,1,6.28,89,19.35
2,3,67.16,53.37,3,1,1,3.07,19,54.68
2,4,7.74,14.18,3,3,2,3.02,111,25.89
8,5,91.61,74.19,0,2,0,3.29,56,57.69
0,1,52.52,29.47,1,2,1,4.68,71,13.23
20,3,69.43,68.83,3,0,2,4.94,29,70.6
14,4,29.42,29.3,3,3,0,5.86,52,25.94
22,5,42.18,42.36,2,1,3,2.13,15,48.62
11,3,22.51,22.37,0,2,0,5.27,32,9.82
13,4,52.27,51.49,1,1,0,2.69,48,40.66
14,3,94.76,86.06,2,3,3,2.97,144,80.45
11,2,24.95,36.95,1,2,3,1.67,27,41.53
13,0,25.02,36.49,2,3,1,1.72,67,35.32
13,5,6.04,8.09,2,1,0,3.98,96,13.05
21,1,61.25,55.72,1,3,2,3.95,37,46.69
7,2,23.44,14.43,0,1,1,2.75,133,15.46
22,1,19.16,25.35,2,3,3,7.39,17,21.25
4,4,29.15,12.02,0,1,1,6.94,44,0.0
4,0,43.99,30.55,0,3,3,5.43,43,31.27
6,3,30.87,30.02,0,3,2,2.64,96,24.72
22,2,13.0,25.41,0,1,3,3.7,126,20.56
5,4,49.27,55.41,0,0,3,5.0,89,29.58
18,3,83.09,66.08,2,3,1,1.69,36,70.66
13,1,76.1,54.17,2,1,1,3.22,20,51.6
15,4,62.73,59.42,0,3,2,2.92,104,38.02
1,5,39.11,12.93,1,2,0,1.78,149,7.88
15,3,80.21,82.37,1,1,3,4.2,139,75.08
1,4,62.0,49.31,2,2,1,6.77,139,27.39
13,3,15.37,34.36,2,0,2,3.81,64,26.1
18,3,76.66,82.54,2,2,1,6.23,146,50.66
22,1,48.7,54.36,3,0,1,5.66,84,27.86
23,4,46.86,39.33,3,0,0,4.89,141,25.8
5,1,8.68,15.93,2,1,2,4.07,31,19.25
18,6,12.49,16.48,3,1,0,3.38,50,18.46
14,2,83.7,67.94,1,0,1,6.27,42,37.14
17,1,38.48,49.43,0,2,0,3.22,88,31.89
19,1,25.77,41.85,3,3,2,1.69,64,67.13
11,0,49.36,37.45,0,1,2,5.24,81,21.13
3,1,70.45,39.84,1,0,2,7.45,106,15.38
18,1,24.11,31.0,0,2,1,5.85,64,22.75
14,2,23.88,38.89,3,0,2,4.2,78,33.7
3,0,82.04,70.09,1,2,2,6.66,120,49.11
9,1,53.59,54.87,1,1,3,6.68,129,50.77
3,6,35.08,24.74,3,2,1,4.54,95,19.25
18,1,33.43,43.91,1,1,1,3.68,115,44.21
8,6,67.44,61.72,1,0,2,2.67,134,62.7
1,5,28.65,27.1,2,0,2,5.88,90,17.45
6,0,31.43,51.18,2,0,2,2.47,11,33.19
14,2,9.59,31.33,3,1,1,3.05,71,21.83
14,0,44.23,47.79,2,2,0,5.2,145,32.25
20,2,38.08,40.26,2,0,3,5.22,88,48.68
8,2,19.25,34.52,1,1,0,7.46,138,11.04
15,5,67.81,36.14,0,0,0,2.09,71,19.86
22,2,14.64,35.45,1,1,2,5.28,113,27.21
7,5,28.87,19.84,0,0,1,5.31,75,17.2
0,3,21.5,32.22,3,0,3,4.45,33,37.6
15,5,69.03,50.53,2,2,2,5.06,52,49.26
14,2,5.19,17.91,3,2,0,5.47,43,15.44
8,4,73.57,57.7,0,3,3,7.23,34,40.91
13,0,37.39,34.21,0,1,2,3.92,30,23.62
16,0,48.16,53.87,0,0,3,3.41,145,52.23
19,5,54.03,77.2,2,3,3,3.02,101,83.17
3,6,34.36,31.45,1,2,0,1.93,16,8.18
11,0,64.05,51.76,1,0,0,6.2,15,20.75
6,4,57.14,65.6,3,2,2,3.46,17,67.45
8,0,70.1,63.07,0,0,2,4.73,41,48.5
0,6,45.75,36.09,1,2,0,5.48,25,6.98
10,0,51.42,54.88,2,0,0,3.48,125,53.35
2,1,90.66,65.54,1,2,2,4.93,66,42.39
22,5,84.51,79.5,2,1,1,4.34,94,58.0
13,0,89.6,80.63,2,2,1,2.8,81,69.08
10,1,45.3,51.44,2,0,2,2.99,80,59.09
5,6,72.2,63.72,3,0,3,6.52,53,46.43
22,0,46.7,48.51,3,2,0,4.8,88,37.45
12,2,20.47,26.26,3,1,0,3.93,114,23.34
23,6,22.15,36.72,3,0,3,2.09,29,35.18
15,6,56.34,55.83,2,1,1,2.14,60,43.94
23,0,14.86,36.91,2,3,3,3.64,106,37.78
21,5,25.73,43.99,3,2,3,5.34,27,50.71
17,6,12.89,40.48,1,1,1,2.24,11,36.73
8,1,14.22,22.5,0,0,0,5.57,70,3.61
18,3,78.9,88.83,3,0,2,1.72,27,83.84
7,4,62.87,61.25,1,0,3,5.04,72,53.23
20,2,43.4,40.98,3,0,0,3.64,117,24.95
7,2,25.19,47.42,2,2,1,1.74,81,42.16
1,2,90.9,80.76,3,0,2,6.63,45,66.42
2,5,5.51,9.84,0,1,3,3.47,51,6.91
10,0,93.59,94.67,0,0,3,7.23,143,67.06
15,4,56.56,51.67,1,3,3,1.63,68,48.95
6,3,50.83,34.25,0,2,0,6.15,63,17.34
19,5,50.28,64.55,3,1,3,7.42,59,59.49
6,5,56.9,46.84,0,1,3,4.28,134,32.05
11,2,55.64,35.36,1,2,0,4.97,35,26.02
8,3,88.98,65.5,0,1,0,5.19,128,40.79
13,0,57.24,41.31,0,0,1,2.78,60,24.03
4,3,50.15,29.17,1,0,0,5.98,83,20.44
23,2,32.35,35.96,2,1,2,6.4,100,26.38
22,5,29.44,38.27,0,0,2,6.88,85,15.32
16,5,21.4,28.09,1,3,0,5.63,147,3.04
12,2,31.22,28.06,1,1,2,2.35,120,38.67
17,6,80.29,88.57,2,3,3,2.14,79,83.07
11,3,9.23,33.23,3,1,3,3.78,46,30.29
21,2,77.95,68.47,2,3,3,5.44,78,57.45
1,4,28.12,32.8,1,2,2,2.89,71,22.99
5,3,29.01,16.68,0,0,0,5.57,49,0.0
10,6,36.17,41.89,1,1,2,4.75,42,33.87
15,6,73.25,63.15,0,3,2,4.98,66,39.81
16,0,80.16,83.25,0,3,2,5.16,102,61.88
17,1,62.68,92.3,2,1,3,6.62,136,82.19
22,2,83.33,78.56,2,1,3,7.49,69,63.03
20,4,66.37,65.12,1,0,0,1.99,38,36.86
21,4,86.51,77.28,0,1,3,6.77,44,45.16
8,6,87.83,82.15,2,1,1,7.38,75,62.45
16,1,88.59,84.83,3,3,0,3.05,150,72.87
16,4,53.83,79.59,3,2,2,1.95,143,76.53
14,6,28.98,22.91,1,1,1,2.72,91,17.0
14,0,52.09,51.66,0,1,2,3.74,109,35.36
12,4,88.0,93.89,3,1,2,5.26,38,78.72
9,4,25.08,48.36,3,2,2,4.68,96,57.55
3,0,61.61,50.97,2,3,2,2.74,145,53.03
2,0,44.89,51.92,2,3,1,1.98,86,44.1
0,0,28.85,9.55,0,1,0,1.65,34,1.96
8,1,25.08,48.11,3,0,1,5.74,12,47.85
8,4,77.0,83.28,2,3,3,4.52,28,80.68
23,6,63.87,51.22,0,2,3,3.2,88,44.71
5,4,30.43,36.54,1,0,2,4.55,112,15.03
5,4,70.17,40.6,0,0,0,2.66,59,20.57
1,2,85.74,48.69,0,0,1,5.55,62,24.86
2,1,28.37,28.61,1,2,2,3.69,31,40.76
15,3,70.12,46.57,1,1,0,4.75,49,26.99
8,4,83.94,84.6,3,1,2,3.44,67,76.01
14,6,35.18,53.89,3,2,3,6.02,14,34.99
2,4,10.6,8.9,0,3,2,6.97,78,0.0
18,6,54.2,59.79,2,3,3,3.98,126,59.72
6,5,39.82,46.47,0,2,3,5.88,111,31.74
1,6,89.34,75.46,1,1,3,3.5,46,56.51
21,4,8.18,2.96,0,2,2,2.77,94,12.73
8,1,27.82,29.27,0,3,3,2.19,109,25.45
7,5,27.08,54.34,1,3,3,5.52,44,45.96
1,4,21.68,11.87,2,1,0,6.87,59,5.96
14,5,89.39,76.32,0,2,2,3.37,94,50.19
6,1,69.51,73.05,2,0,3,4.18,46,64.96
5,0,70.48,64.78,2,0,1,4.42,79,43.15
16,6,48.45,51.91,3,1,1,2.93,48,57.43
16,3,77.96,70.48,1,3,0,6.74,68,46.37
3,4,55.34,38.37,1,0,1,5.21,42,20.81
3,0,45.43,42.29,1,1,3,6.08,97,15.5
5,6,90.37,66.73,0,0,2,4.93,73,31.51
18,2,23.86,35.82,0,1,2,5.05,73,33.29
6,0,80.51,80.23,3,1,3,5.73,89,64.57
10,1,51.17,39.36,0,0,0,7.28,102,29.1
3,1,7.25,0.0,1,0,1,6.31,56,0.0
4,3,15.83,14.44,1,1,1,5.51,140,0.0
15,4,20.11,23.1,1,2,0,6.25,110,12.7
18,2,39.24,44.32,0,0,3,4.23,88,35.67
20,1,62.55,52.0,1,3,0,7.04,82,26.06
13,1,24.65,44.26,1,2,2,2.73,99,36.75
6,1,31.89,22.0,1,3,1,4.9,11,15.66
10,6,32.98,50.29,2,3,1,6.98,49,29.73
3,3,76.14,46.99,0,1,2,2.15,27,38.03
5,0,50.54,62.75,2,3,3,2.77,56,62.34
11,2,31.85,25.86,1,3,0,4.19,66,14.65
18,3,64.61,66.83,2,0,0,6.95,27,43.4
6,4,45.34,64.87,2,2,2,3.8,44,49.69
8,4,83.8,74.49,2,2,1,4.17,96,71.22
0,5,82.97,62.44,0,1,1,2.11,126,38.12
1,1,78.81,58.3,2,2,0,7.36,51,32.13
13,0,41.81,43.33,1,0,0,6.13,59,24.68
23,3,77.15,73.94,2,0,1,5.21,41,57.12
13,2,45.66,36.02,0,1,1,5.47,84,10.46
0,2,86.65,53.05,0,2,3,5.33,143,40.72
13,6,79.15,77.59,3,1,1,6.44,66,55.14
2,6,74.05,53.79,0,3,2,4.18,59,24.52
16,5,60.69,80.05,3,3,3,7.03,137,61.69
11,0,6.94,28.09,2,0,3,2.99,46,46.02
8,1,16.96,26.84,1,1,2,2.72,116,32.18
4,0,90.83,52.92,0,3,0,6.6,49,29.69
4,1,83.45,65.29,2,3,3,3.72,84,63.03
8,3,20.95,15.45,0,1,1,3.29,100,18.36
10,2,71.94,70.1,1,0,1,2.34,103,54.53
13,4,62.18,44.58,0,1,0,6.46,82,21.77
16,0,46.99,33.55,1,0,0,6.57,66,21.23
22,6,6.53,16.48,2,3,0,5.59,90,6.05
0,0,22.07,21.41,3,0,1,6.39,56,15.26
22,3,91.54,78.58,1,1,1,6.63,54,54.55
13,4,74.28,79.16,3,3,2,1.73,142,69.26
1,6,11.85,6.48,0,2,0,4.82,144,0.0
20,0,34.2,34.82,0,2,1,6.27,146,14.77
20,4,36.77,33.82,2,2,0,6.63,55,25.51
6,6,67.4,54.63,0,2,3,5.44,70,36.64
4,6,53.34,37.43,1,3,2,3.84,20,24.3
7,5,76.59,84.09,3,1,0,5.82,23,62.74
19,5,80.14,62.75,1,1,1,5.76,94,38.08
22,0,86.1,59.24,0,1,0,2.53,129,40.56
7,6,19.37,39.15,2,3,2,3.01,139,50.44
11,2,94.97,74.82,3,0,0,4.21,133,51.44
17,0,92.23,75.74,1,0,1,6.89,36,52.48
4,0,31.49,31.19,3,0,3,3.6,138,35.04
17,6,48.01,46.38,0,3,1,4.23,31,33.08
5,2,33.58,24.15,2,1,2,5.32,118,12.11
20,4,48.98,38.04,1,2,2,5.62,12,21.55
3,3,36.6,40.15,3,1,0,3.23,126,26.03
23,0,65.02,49.67,1,0,3,1.94,135,57.49
17,6,8.52,6.68,0,0,0,6.72,48,2.92
6,0,43.76,54.57,3,3,2,1.86,85,61.03
19,0,52.46,53.43,1,3,2,7.19,47,33.4
15,0,55.17,48.54,0,3,3,3.36,116,29.22
11,3,23.83,29.85,1,1,1,3.27,99,22.83
17,3,83.87,82.12,2,2,3,3.64,149,74.39
16,5,6.01,13.28,0,0,0,1.87,143,2.31
1,0,81.69,61.55,0,2,2,5.85,121,37.58
5,6,6.01,16.13,3,0,3,5.43,56,23.3
15,2,90.41,89.49,3,2,1,2.48,99,71.1
9,6,91.4,82.72,3,3,1,2.42,136,80.67
7,1,58.52,49.64,0,0,1,5.64,50,21.9
13,2,88.44,83.22,3,0,2,7.09,96,64.91
3,0,12.92,14.94,3,3,1,3.53,21,23.14
23,3,74.96,77.89,3,3,2,6.29,94,64.12
13,0,49.66,31.13,2,0,0,4.68,54,26.55
0,3,36.94,23.27,2,1,0,2.03,115,12.27
11,0,47.11,53.92,3,0,2,1.61,14,57.62
17,3,28.09,31.38,0,3,0,6.17,87,12.49
13,6,63.76,51.46,1,0,0,6.55,129,14.99
12,0,65.32,56.26,0,1,3,4.65,143,32.35
15,4,18.13,32.84,1,3,1,4.95,116,22.09
0,3,59.95,40.51,3,3,0,4.35,133,31.74
11,4,78.09,70.47,3,0,0,2.79,105,54.08
9,0,59.49,61.42,1,1,2,5.31,139,39.57
21,6,8.39,0.37,1,1,0,3.78,90,0.0
14,5,46.89,40.37,2,0,2,2.56,12,44.14
4,3,69.2,43.17,0,1,0,3.76,97,20.88
20,1,19.51,10.3,0,2,0,5.11,46,5.42
6,6,45.81,59.73,2,2,3,1.69,78,55.27
23,1,90.87,80.53,3,0,1,7.27,103,54.0
8,4,44.75,39.33,1,3,0,4.05,19,33.45
20,1,76.72,86.27,2,3,3,4.43,132,77.66
18,3,78.59,72.18,1,2,3,4.42,149,65.98
17,0,35.49,36.81,0,1,1,2.8,126,13.37
15,4,71.48,80.25,2,3,3,4.39,36,72.63
0,5,17.51,15.59,1,3,2,3.82,84,10.39
4,3,29.59,18.64,1,3,1,3.46,16,16.17
20,5,62.86,76.94,3,0,3,5.24,144,67.11
17,1,19.16,22.86,2,0,1,5.28,82,23.45
11,0,92.17,80.08,3,1,0,4.31,143,55.92
18,0,90.0,88.67,3,3,2,6.66,26,75.43
15,0,24.61,33.63,3,1,0,4.67,11,31.96
18,6,51.88,54.65,3,1,0,6.29,63,54.3
12,3,56.31,46.03,2,0,0,4.69,53,32.0
1,2,76.61,65.44,1,2,2,4.22,127,33.62
9,1,27.84,38.63,1,2,2,6.22,48,36.92
5,5,90.51,79.83,2,0,3,4.77,69,55.39
20,3,16.09,39.91,3,2,2,7.11,145,31.46
21,3,76.23,52.2,1,1,1,5.88,45,26.33
4,1,28.95,27.4,1,3,3,6.74,102,19.95
21,0,84.85,81.2,2,3,3,5.56,83,61.73
7,4,20.42,39.87,3,1,0,5.56,54,44.16
4,3,47.18,16.88,0,1,1,3.84,36,0.22
6,5,17.3,21.52,0,1,2,6.35,88,7.27
13,0,66.78,83.24,3,1,3,6.87,58,69.03
5,6,41.27,30.26,2,3,1,3.46,86,22.99
6,5,83.36,79.57,1,3,3,2.18,144,65.39
16,5,91.77,69.66,0,2,0,1.63,23,56.24
9,2,81.88,84.99,1,3,3,2.49,41,83.25
16,3,30.68,51.11,3,0,0,3.68,74,52.5
0,5,75.3,62.25,3,0,0,2.33,124,48.31
2,2,50.32,50.61,2,2,0,3.23,48,28.46
6,0,40.26,37.71,2,1,1,5.25,139,27.45
8,2,39.18,56.78,1,3,3,2.23,11,64.3
6,0,36.33,65.5,3,0,2,4.66,150,42.34
9,1,23.12,36.83,1,1,3,6.73,35,30.51
22,0,32.75,48.82,3,0,3,2.49,10,56.55
11,5,76.57,77.89,3,1,3,1.56,91,84.56
14,6,6.04,7.68,0,0,3,5.56,10,7.33
18,2,81.51,73.69,1,0,3,1.71,93,62.01
4,1,82.69,83.83,2,3,2,5.73,29,52.92
3,5,87.19,64.04,3,2,0,5.29,112,47.26
10,4,5.26,43.37,3,2,3,1.87,94,45.67
14,2,94.11,74.86,0,3,0,5.73,99,41.71
11,2,47.9,53.61,0,1,3,5.87,84,23.68
2,6,82.2,46.73,1,1,1,4.6,102,28.22
15,1,63.52,51.17,2,0,0,7.48,128,18.09
22,3,22.49,27.11,0,1,2,2.65,124,22.69
12,1,11.05,20.66,0,1,3,6.39,19,8.46
21,4,56.3,69.05,3,0,3,5.41,129,58.27
10,4,6.71,12.94,1,1,0,1.85,74,27.17
9,1,84.6,80.57,3,1,2,6.34,52,81.48
7,3,56.02,56.36,1,1,1,4.86,121,37.23
12,0,85.07,68.5,2,3,0,3.01,85,58.56
13,6,73.69,46.2,0,0,2,7.13,100,31.6
2,5,84.46,63.15,2,3,1,5.33,91,43.77
23,5,65.71,51.12,1,3,2,3.91,58,38.19
3,2,82.21,60.66,0,0,0,6.25,61,21.85
13,5,20.53,23.58,2,0,3,4.8,38,31.64
7,1,52.58,45.04,0,0,2,5.69,124,36.4
21,0,19.64,33.86,1,0,3,6.9,68,22.21
15,1,9.92,5.09,0,3,1,7.09,53,0.0
0,3,11.25,24.24,0,2,3,2.33,31,26.88
0,3,38.61,28.69,1,0,1,5.01,128,0.0
4,0,66.61,44.04,0,0,1,3.82,33,27.64
19,6,41.34,50.0,0,0,3,4.27,60,40.93
20,5,34.99,48.8,0,0,2,1.76,125,16.2
13,2,86.25,87.47,2,2,3,2.29,62,91.32
13,1,67.31,74.45,2,0,3,6.47,18,62.41
15,4,14.68,29.06,1,3,3,6.17,88,27.13
11,3,43.12,48.53,3,2,1,2.48,128,46.55
12,4,59.93,59.42,0,3,1,5.75,108,30.46
8,1,74.12,73.63,2,0,0,4.5,29,59.61
11,1,38.81,38.76,0,2,3,6.89,121,24.3
7,0,57.92,58.57,3,2,1,3.85,33,51.0
17,4,58.79,68.28,1,3,3,3.35,145,70.59
16,6,78.48,70.51,0,1,2,1.66,23,63.76
17,6,18.89,30.3,2,0,3,2.98,32,31.54
8,3,23.54,24.09,2,1,0,1.55,56,34.16
9,0,7.94,9.58,2,2,0,4.35,34,15.05
10,3,54.69,76.31,3,0,3,3.29,87,62.41
14,3,27.72,40.97,3,3,2,4.0,20,43.15
18,5,60.98,58.16,3,1,1,2.53,72,62.18
0,1,86.41,65.02,1,1,3,4.68,57,54.6
22,3,27.08,33.61,0,2,3,5.38,134,36.23
20,3,91.26,67.9,2,2,0,3.62,121,52.49
23,5,60.56,38.82,0,3,1,3.04,99,20.27
6,6,71.79,53.35,1,0,0,5.68,137,17.26
11,5,28.89,25.55,1,0,0,6.36,59,1.21
13,2,75.45,74.55,3,1,3,3.81,85,72.08
3,0,5.58,0.0,0,2,0,5.75,72,0.0
8,4,85.59,78.4,1,0,0,7.21,32,51.11
0,3,74.58,68.08,3,2,2,5.41,40,51.63
2,6,28.0,23.46,2,3,0,6.46,107,4.52
11,0,73.98,52.19,0,3,0,7.42,108,21.25
7,4,94.99,98.47,3,3,3,4.49,20,89.08
