hour,day_of_week,parking_location,previous_occupancy,traffic_level,weather,event_level,parking_price,available_spaces,occupancy_percentage
21,3,2,8.3,0,3,2,5.0,32,15.45
8,0,1,62.05,1,0,0,3.2,21,46.73
1,0,0,86.56,2,3,3,4.5,5,59.93
11,6,1,92.9,1,3,0,3.2,4,50.18
19,6,0,63.51,2,0,0,4.5,15,45.31
4,4,0,90.49,3,0,3,4.5,4,63.24
11,1,1,11.81,0,2,1,3.2,49,0.0
3,5,2,37.34,1,3,2,5.0,22,31.27
16,1,2,5.78,0,2,2,5.0,33,22.17
11,2,0,93.31,2,0,0,4.5,3,57.19
7,2,1,86.25,0,2,2,3.2,8,75.07
5,0,2,7.52,3,1,2,5.0,32,26.79
13,5,2,6.63,1,3,0,5.0,33,1.45
16,3,2,38.03,2,3,3,5.0,22,49.93
22,2,0,28.27,0,3,3,4.5,29,23.26
10,3,0,81.22,1,1,3,4.5,8,71.46
3,0,0,19.44,0,1,0,4.5,32,4.37
19,3,0,76.16,2,3,0,4.5,10,61.27
15,3,0,54.9,0,0,3,4.5,18,38.82
16,2,0,38.97,0,0,1,4.5,24,32.71
2,5,1,18.11,2,0,2,3.2,45,21.11
7,1,1,94.79,2,2,1,3.2,3,85.58
18,0,1,60.62,1,0,0,3.2,22,38.44
19,3,0,44.54,1,2,2,4.5,22,43.42
10,6,0,38.4,1,0,0,4.5,25,17.24
19,2,2,86.52,3,3,0,5.0,5,80.74
20,0,1,78.91,1,1,2,3.2,12,50.97
9,6,0,78.01,3,0,0,4.5,9,53.89
21,3,2,60.46,0,2,0,5.0,14,19.41
6,1,2,84.92,0,1,3,5.0,5,63.17
5,4,2,31.94,1,1,2,5.0,24,36.17
16,2,0,68.33,0,2,2,4.5,13,57.49
15,6,1,41.4,2,3,0,3.2,32,34.91
3,2,2,59.0,1,3,0,5.0,14,42.81
19,3,2,94.83,1,1,1,5.0,2,74.62
4,3,0,93.61,2,3,1,4.5,3,69.31
19,1,2,51.14,0,0,1,5.0,17,40.66
0,3,1,56.65,1,3,0,3.2,24,32.44
19,0,1,85.76,3,3,3,3.2,8,91.61
18,4,1,93.71,2,2,1,3.2,3,79.2
18,5,2,75.07,2,2,3,5.0,9,72.7
15,6,0,10.87,2,2,1,4.5,36,1.76
11,2,1,34.04,1,0,1,3.2,36,14.59
16,1,2,85.69,3,3,0,5.0,5,76.91
6,3,1,74.15,3,2,2,3.2,14,73.64
18,4,0,71.8,1,3,0,4.5,11,51.23
13,6,0,65.11,3,0,2,4.5,14,67.72
11,0,1,42.37,0,3,3,3.2,32,32.55
12,1,2,41.29,1,1,1,5.0,21,31.36
13,1,1,77.8,1,3,3,3.2,12,73.7
0,1,2,31.44,2,3,2,5.0,24,44.81
3,3,1,66.63,2,3,0,3.2,18,52.52
5,6,1,70.36,1,3,0,3.2,16,48.3
2,0,0,81.01,1,0,2,4.5,8,51.93
10,5,1,33.79,2,1,2,3.2,36,50.34
16,4,0,71.77,1,1,0,4.5,11,54.85
15,4,2,14.58,1,2,2,5.0,30,15.31
11,4,0,17.43,1,3,3,4.5,33,27.05
20,0,2,42.56,3,2,0,5.0,20,28.72
13,5,0,9.97,2,2,3,4.5,36,30.79
1,1,1,90.29,0,3,2,3.2,5,63.51
18,3,0,86.17,3,0,2,4.5,6,84.77
13,4,0,9.4,2,2,0,4.5,36,7.2
15,4,2,80.45,1,2,2,5.0,7,48.27
13,2,0,50.8,2,0,1,4.5,20,49.86
13,2,1,68.18,0,2,1,3.2,18,41.72
2,3,2,84.82,0,3,3,5.0,5,57.55
13,0,1,56.93,1,3,0,3.2,24,43.4
19,5,0,15.47,3,3,0,4.5,34,38.64
7,0,1,5.23,1,3,1,3.2,52,17.02
14,3,1,49.72,1,1,2,3.2,28,38.49
0,4,0,90.43,3,0,0,4.5,4,59.69
8,0,0,56.54,3,3,3,4.5,17,61.89
10,6,1,38.56,1,1,2,3.2,34,33.09
23,2,1,7.78,0,2,3,3.2,51,25.45
5,0,0,87.35,2,0,1,4.5,5,55.15
6,4,1,34.44,2,3,0,3.2,36,23.7
9,3,1,68.43,3,3,0,3.2,17,60.98
23,4,0,67.48,3,3,2,4.5,13,67.99
20,5,1,27.85,2,0,2,3.2,40,14.76
0,3,2,10.74,0,3,2,5.0,31,15.71
5,5,1,39.65,0,2,3,3.2,33,46.22
19,2,1,33.54,2,0,3,3.2,37,60.79
1,3,2,68.02,2,2,2,5.0,11,61.53
20,1,1,78.78,1,1,0,3.2,12,53.89
6,4,0,25.02,1,2,2,4.5,30,30.0
22,1,1,52.54,2,0,3,3.2,26,49.62
7,4,1,8.65,1,2,3,3.2,50,34.91
10,5,1,24.28,0,2,3,3.2,42,40.65
15,6,0,73.56,3,2,0,4.5,11,41.55
3,6,0,76.41,1,3,1,4.5,9,49.9
13,0,1,74.88,1,2,2,3.2,14,58.77
12,0,2,17.81,0,2,0,5.0,29,5.94
18,6,2,54.59,1,0,1,5.0,16,41.69
23,2,2,43.04,3,3,0,5.0,20,41.66
15,0,0,94.23,0,1,0,4.5,2,46.48
9,2,1,63.87,0,2,0,3.2,20,47.54
9,5,1,89.17,0,2,3,3.2,6,72.78
10,2,1,18.08,0,3,3,3.2,45,30.08
19,0,1,45.58,2,1,1,3.2,30,42.03
7,5,1,74.44,1,1,0,3.2,14,45.53
4,1,0,38.11,3,3,1,4.5,25,40.03
8,2,2,61.93,1,2,1,5.0,13,46.76
0,0,2,51.05,2,1,0,5.0,17,40.71
2,4,0,94.27,0,1,2,4.5,2,58.19
2,3,1,20.65,1,3,3,3.2,44,37.54
18,6,1,89.18,1,3,3,3.2,6,76.1
17,2,2,41.14,0,0,3,5.0,21,36.62
16,1,2,47.12,1,1,3,5.0,19,59.95
11,1,1,52.57,1,3,0,3.2,26,34.68
17,1,2,28.88,1,0,2,5.0,25,33.67
3,3,2,91.73,2,0,2,5.0,3,72.28
21,0,2,87.03,3,0,0,5.0,5,64.24
12,2,0,92.56,3,2,0,4.5,3,56.01
22,5,2,94.72,0,1,2,5.0,2,65.17
3,5,1,65.28,2,1,2,3.2,19,49.26
11,4,0,45.65,3,0,0,4.5,22,41.67
16,6,2,81.57,3,2,1,5.0,6,65.64
11,5,2,7.14,1,3,0,5.0,33,5.87
10,4,1,80.1,3,0,0,3.2,11,63.72
3,6,1,49.76,3,2,2,3.2,28,38.25
9,0,1,65.59,1,3,2,3.2,19,64.84
5,5,0,38.66,3,2,3,4.5,25,33.22
7,2,2,38.18,2,2,3,5.0,22,52.11
16,5,0,7.85,3,0,0,4.5,37,22.51
15,6,1,43.14,2,3,1,3.2,31,33.43
14,3,0,41.75,3,3,3,4.5,23,46.28
8,0,2,25.23,3,2,0,5.0,26,40.56
23,2,2,27.26,3,3,3,5.0,25,46.0
2,2,1,57.57,1,2,3,3.2,23,49.07
8,6,1,33.6,2,2,0,3.2,37,38.79
2,6,2,79.72,2,3,0,5.0,7,46.0
8,3,2,15.02,3,0,2,5.0,30,33.91
23,6,2,56.99,1,0,1,5.0,15,38.24
8,3,0,19.4,1,0,3,4.5,32,20.94
21,2,1,52.54,2,2,2,3.2,26,59.53
11,5,2,54.73,3,0,2,5.0,16,47.88
16,4,0,62.81,3,1,0,4.5,15,58.99
10,3,2,43.47,0,1,1,5.0,20,37.24
6,3,0,50.85,3,2,0,4.5,20,37.66
18,4,2,21.29,3,2,0,5.0,28,32.47
23,5,1,46.67,0,0,0,3.2,29,15.03
6,3,2,38.57,0,2,3,5.0,21,38.47
18,0,2,64.95,0,1,0,5.0,12,35.36
6,0,0,44.13,3,0,2,4.5,22,34.41
17,1,1,75.14,3,2,2,3.2,14,87.65
18,3,2,43.34,2,1,0,5.0,20,36.03
10,4,0,26.22,2,1,3,4.5,30,42.45
17,5,2,29.63,1,3,2,5.0,25,37.08
6,1,0,9.08,3,0,0,4.5,36,8.72
1,5,1,53.59,0,3,0,3.2,26,34.04
2,4,1,79.78,1,1,2,3.2,11,57.15
10,0,2,74.22,0,3,2,5.0,9,57.6
21,2,2,44.4,3,3,1,5.0,19,45.02
3,2,1,22.65,2,3,1,3.2,43,23.88
10,6,0,82.71,2,0,0,4.5,7,48.63
16,6,1,10.11,3,3,0,3.2,49,23.78
4,5,1,40.93,0,1,2,3.2,32,34.75
17,3,2,82.1,3,3,1,5.0,6,83.2
7,3,2,40.39,0,3,1,5.0,21,32.12
19,2,1,15.61,3,2,1,3.2,46,42.55
13,5,2,28.94,2,3,2,5.0,25,24.39
13,0,0,59.0,3,2,1,4.5,16,57.29
4,1,0,18.68,0,0,1,4.5,33,10.59
11,0,0,63.94,3,3,1,4.5,14,67.41
20,3,2,44.43,3,2,2,5.0,19,56.23
0,2,0,35.1,0,0,0,4.5,26,9.81
18,1,1,26.68,2,0,3,3.2,40,52.22
11,2,2,79.1,3,2,2,5.0,7,66.91
17,6,2,40.7,1,3,0,5.0,21,31.49
15,3,2,71.46,1,2,3,5.0,10,59.22
10,5,0,44.63,1,1,3,4.5,22,50.62
7,6,1,13.27,2,1,0,3.2,48,11.5
15,6,1,44.65,3,1,0,3.2,30,28.28
3,2,2,50.69,2,1,0,5.0,17,36.26
14,6,1,46.21,2,1,0,3.2,30,33.22
2,6,1,78.46,3,0,2,3.2,12,59.6
15,6,0,86.98,3,2,0,4.5,5,61.26
15,2,0,75.81,1,0,1,4.5,10,51.21
2,1,1,57.45,3,0,3,3.2,23,66.64
18,4,0,53.73,1,1,2,4.5,19,49.39
9,6,1,63.02,2,3,2,3.2,20,61.81
18,6,2,30.9,1,2,0,5.0,24,36.53
0,3,1,78.07,3,1,3,3.2,12,74.19
4,1,1,82.12,2,2,0,3.2,10,61.71
11,2,0,29.05,2,2,2,4.5,28,42.37
4,4,1,86.25,1,1,2,3.2,8,66.59
7,3,1,81.39,2,3,1,3.2,10,65.18
15,2,0,43.2,3,2,3,4.5,23,43.07
3,2,0,86.81,1,0,3,4.5,5,58.86
16,0,2,15.84,3,3,0,5.0,29,38.49
2,2,2,7.52,1,0,3,5.0,32,20.46
4,4,1,36.31,0,0,0,3.2,35,25.11
14,1,2,55.89,2,1,3,5.0,15,57.05
19,6,0,36.63,2,1,3,4.5,25,43.68
4,0,0,89.79,1,3,2,4.5,4,56.1
7,4,2,27.92,2,2,3,5.0,25,54.94
22,3,0,30.31,2,0,3,4.5,28,32.77
23,5,1,62.13,3,1,2,3.2,21,46.72
13,6,0,5.35,3,3,0,4.5,38,10.51
10,3,0,70.48,3,2,1,4.5,12,57.85
8,4,1,38.97,1,2,3,3.2,34,45.4
14,4,1,93.0,0,2,0,3.2,4,50.81
14,3,2,67.23,0,2,3,5.0,11,45.72
7,1,2,9.7,2,0,0,5.0,32,13.57
0,3,1,13.34,2,2,2,3.2,48,20.21
3,1,1,12.94,2,2,2,3.2,48,20.15
23,3,0,90.74,0,0,0,4.5,4,34.38
10,4,0,66.56,2,2,1,4.5,13,52.65
11,1,0,43.48,3,0,0,4.5,23,24.79
11,1,2,23.04,2,0,1,5.0,27,25.45
18,5,0,83.63,2,3,3,4.5,7,78.86
1,2,1,23.14,0,1,0,3.2,42,12.96
1,1,2,68.6,1,1,3,5.0,11,67.23
6,4,2,73.7,2,2,2,5.0,9,65.52
11,5,1,31.52,2,2,2,3.2,38,35.57
16,5,0,50.44,2,2,1,4.5,20,49.29
11,5,1,25.07,2,3,3,3.2,41,39.27
10,6,1,39.1,2,2,1,3.2,33,40.45
22,4,0,91.86,1,0,2,4.5,3,57.99
3,2,2,67.38,2,0,0,5.0,11,36.61
13,6,2,81.2,1,1,3,5.0,7,65.35
13,1,0,53.65,1,1,2,4.5,19,37.04
11,2,0,26.51,1,1,0,4.5,29,18.8
19,5,0,69.16,2,0,2,4.5,12,63.09
6,6,2,50.05,3,0,0,5.0,17,31.73
22,2,0,20.92,2,0,1,4.5,32,23.64
7,5,2,42.12,0,3,2,5.0,20,22.4
13,6,2,62.14,2,1,3,5.0,13,66.7
12,5,1,71.18,1,3,1,3.2,16,39.8
20,0,1,26.89,0,1,0,3.2,40,11.06
10,4,2,83.84,0,1,1,5.0,6,58.46
6,1,2,39.16,3,1,3,5.0,21,57.26
0,5,0,29.4,1,3,3,4.5,28,27.34
8,0,0,22.56,0,2,0,4.5,31,0.0
19,6,1,77.38,0,0,0,3.2,12,42.25
0,1,0,36.87,2,1,3,4.5,25,37.47
21,2,0,48.51,3,3,2,4.5,21,37.86
13,1,2,25.05,1,0,2,5.0,26,22.93
3,5,1,66.75,0,3,0,3.2,18,27.2
7,2,1,75.29,1,3,1,3.2,14,65.23
13,5,0,35.55,2,0,3,4.5,26,31.46
7,0,0,90.06,0,2,0,4.5,4,63.82
2,3,0,7.75,1,2,0,4.5,37,0.0
15,6,1,16.96,0,3,1,3.2,46,10.99
16,6,0,57.99,1,3,2,4.5,17,49.58
2,1,1,68.13,0,0,3,3.2,18,38.17
6,2,0,27.56,0,1,2,4.5,29,14.45
5,2,1,54.87,0,3,1,3.2,25,39.3
15,3,1,33.65,2,1,1,3.2,36,33.4
17,3,0,54.87,1,0,0,4.5,18,33.26
17,0,1,64.34,3,2,1,3.2,20,57.85
22,5,0,92.55,1,0,0,4.5,3,48.41
18,1,0,46.01,0,0,0,4.5,22,26.18
7,2,2,63.34,0,3,2,5.0,13,58.34
2,5,2,57.02,3,0,1,5.0,15,43.42
14,4,1,33.58,2,3,2,3.2,37,29.02
21,2,2,27.78,1,0,0,5.0,25,16.48
23,6,1,93.91,2,0,2,3.2,3,67.33
5,2,0,23.62,2,2,0,4.5,31,24.62
5,3,2,76.12,0,0,2,5.0,8,47.08
0,1,1,18.19,2,1,2,3.2,45,25.43
3,1,1,77.39,0,1,1,3.2,12,47.23
13,3,1,21.72,0,2,0,3.2,43,3.3
13,3,0,92.04,2,1,3,4.5,3,67.89
8,5,2,66.74,1,0,0,5.0,12,40.68
7,2,1,13.11,0,0,0,3.2,48,0.03
19,6,1,67.39,0,0,1,3.2,18,42.13
11,4,0,59.33,2,0,3,4.5,16,61.85
19,0,2,35.38,2,2,1,5.0,23,49.45
23,5,0,28.47,0,1,1,4.5,29,9.52
7,4,0,69.69,1,0,2,4.5,12,62.2
4,2,2,71.72,1,1,1,5.0,10,41.8
22,3,0,34.45,3,2,2,4.5,26,54.77
15,2,1,83.86,3,1,1,3.2,9,63.88
6,4,2,29.19,1,1,2,5.0,25,39.08
14,3,2,11.29,2,2,1,5.0,31,30.98
12,3,1,58.99,3,2,1,3.2,23,42.76
21,1,2,14.64,1,2,1,5.0,30,23.75
6,2,2,29.9,0,1,1,5.0,25,14.24
23,3,2,50.65,1,1,3,5.0,17,41.91
22,3,0,30.77,2,3,1,4.5,28,31.21
4,2,2,24.35,3,3,3,5.0,26,39.72
3,4,0,68.29,1,0,2,4.5,13,47.01
12,1,2,54.23,0,3,2,5.0,16,34.26
1,3,0,80.58,0,3,1,4.5,8,46.92
7,0,0,57.31,1,3,1,4.5,17,53.99
10,3,0,48.51,0,1,3,4.5,21,43.98
23,5,1,28.51,0,2,0,3.2,39,5.94
23,5,0,76.29,2,0,2,4.5,9,55.13
3,4,0,22.72,3,0,3,4.5,31,25.84
21,5,1,26.8,0,2,2,3.2,40,13.01
2,0,2,80.74,2,0,0,5.0,7,47.99
17,2,1,71.71,2,0,2,3.2,16,71.34
20,4,1,60.16,2,1,0,3.2,22,42.98
21,5,1,8.5,3,1,3,3.2,50,31.49
5,4,1,16.45,3,0,1,3.2,46,22.96
21,5,1,50.0,1,3,1,3.2,28,30.01
2,1,1,72.17,3,2,3,3.2,15,81.42
12,1,0,46.77,0,3,1,4.5,21,21.52
11,0,0,6.56,3,3,0,4.5,37,16.68
7,4,2,21.58,0,2,3,5.0,27,31.46
0,4,1,57.99,0,1,2,3.2,23,41.61
18,1,0,67.48,0,3,2,4.5,13,49.92
8,5,0,8.01,0,2,0,4.5,37,6.28
15,5,2,8.9,1,1,1,5.0,32,14.82
9,2,0,28.52,2,1,1,4.5,29,36.65
8,1,0,12.52,2,0,1,4.5,35,20.13
21,5,2,53.78,0,3,2,5.0,16,34.05
2,4,1,16.13,1,3,0,3.2,46,28.39
17,1,1,63.34,0,2,1,3.2,20,42.09
17,1,2,74.95,0,0,3,5.0,9,66.93
9,3,0,92.35,2,3,2,4.5,3,80.43
6,3,1,90.36,2,0,1,3.2,5,62.32
0,1,2,29.6,0,0,0,5.0,25,9.39
22,6,1,7.65,1,0,0,3.2,51,0.0
22,2,0,34.65,3,1,1,4.5,26,35.0
5,2,2,68.76,2,1,0,5.0,11,47.4
0,0,2,10.38,0,3,0,5.0,31,19.06
2,6,0,37.37,3,1,3,4.5,25,48.48
1,1,0,31.82,0,3,3,4.5,27,30.86
19,6,2,24.74,1,1,2,5.0,26,34.94
21,3,0,68.55,2,2,3,4.5,13,70.68
3,6,2,64.32,2,2,1,5.0,12,41.61
17,1,0,53.19,0,3,2,4.5,19,43.88
4,1,2,86.97,3,3,3,5.0,5,71.29
8,5,2,14.28,0,3,0,5.0,30,13.61
14,5,1,18.47,2,3,1,3.2,45,26.45
17,3,0,39.51,1,0,0,4.5,24,19.88
20,0,1,64.03,3,0,3,3.2,20,72.03
1,6,2,57.57,3,1,3,5.0,15,54.05
4,2,2,11.66,3,0,2,5.0,31,24.64
6,6,0,91.26,3,1,2,4.5,3,69.55
7,6,1,32.46,2,2,1,3.2,37,45.58
23,5,2,37.31,0,1,0,5.0,22,6.73
18,4,0,61.13,2,0,3,4.5,16,62.95
7,4,2,90.06,1,3,3,5.0,3,85.32
23,3,0,64.64,2,1,3,4.5,14,58.78
11,0,2,90.93,0,3,1,5.0,3,59.78
12,2,0,21.88,2,2,0,4.5,31,19.88
10,5,0,60.69,1,2,2,4.5,16,45.13
3,5,1,79.6,2,3,0,3.2,11,63.69
22,3,1,50.81,1,1,0,3.2,27,28.14
0,4,0,37.6,1,0,3,4.5,25,29.71
4,0,1,93.63,0,3,3,3.2,4,77.7
5,3,0,17.69,3,2,1,4.5,33,20.49
6,3,2,41.98,0,1,2,5.0,20,30.61
3,6,0,83.6,0,2,2,4.5,7,43.8
0,2,1,86.04,1,1,0,3.2,8,65.58
16,1,2,93.23,0,3,0,5.0,2,75.89
23,2,0,84.64,3,2,1,4.5,6,63.67
2,1,0,9.59,1,1,3,4.5,36,19.57
7,3,2,88.68,0,2,1,5.0,4,60.82
12,4,0,43.54,1,3,2,4.5,23,33.09
22,5,2,63.65,0,1,0,5.0,13,28.16
16,6,1,40.48,2,3,3,3.2,33,55.66
18,0,2,78.23,1,0,3,5.0,8,60.44
13,1,0,56.83,0,0,1,4.5,17,27.3
10,2,0,81.1,3,3,0,4.5,8,66.39
4,1,2,22.44,2,2,3,5.0,27,38.47
20,5,2,21.65,1,0,3,5.0,27,22.7
19,0,2,44.63,2,2,2,5.0,19,52.11
0,0,0,5.43,2,1,1,4.5,38,14.17
17,6,1,67.36,0,1,2,3.2,18,54.19
2,6,1,31.64,3,1,1,3.2,38,39.82
17,1,1,55.16,1,1,2,3.2,25,55.4
19,2,0,11.3,0,3,3,4.5,35,24.33
3,3,1,20.36,2,1,1,3.2,44,25.22
10,3,1,61.06,3,1,0,3.2,21,43.28
2,6,0,32.51,2,3,2,4.5,27,44.26
13,2,1,24.32,1,2,3,3.2,42,32.59
22,0,0,25.6,1,0,0,4.5,30,20.58
1,2,0,24.33,2,2,3,4.5,30,28.07
9,3,0,61.06,0,2,1,4.5,16,33.46
23,3,1,20.09,3,2,2,3.2,44,37.07
7,3,0,37.64,1,0,2,4.5,25,35.88
3,6,1,66.91,0,1,0,3.2,18,31.77
11,5,1,51.23,0,2,0,3.2,27,23.15
12,1,2,58.76,2,2,3,5.0,14,54.37
15,2,0,27.58,0,2,2,4.5,29,8.78
7,4,1,88.94,3,3,2,3.2,6,89.0
22,2,0,42.25,3,2,1,4.5,23,31.28
12,2,1,30.83,0,1,0,3.2,38,2.23
6,1,1,86.39,0,2,1,3.2,7,49.99
23,1,2,63.98,3,1,2,5.0,13,62.21
22,5,1,60.26,0,1,2,3.2,22,48.53
11,5,2,84.81,1,2,1,5.0,5,59.42
0,5,0,10.27,3,1,0,4.5,36,17.93
14,2,0,80.39,0,2,0,4.5,8,42.18
13,0,0,66.01,2,2,3,4.5,14,60.33
3,1,1,37.4,1,3,2,3.2,34,50.62
15,2,0,28.07,1,0,3,4.5,29,17.52
20,3,0,14.43,3,1,0,4.5,34,12.38
2,6,0,89.7,2,3,1,4.5,4,58.34
17,6,2,17.77,1,1,1,5.0,29,27.16
3,0,2,28.35,3,2,1,5.0,25,29.22
17,4,0,67.2,2,2,1,4.5,13,62.48
10,2,2,68.91,0,3,0,5.0,11,49.06
0,1,0,19.47,1,0,0,4.5,32,8.75
23,3,1,78.27,0,1,3,3.2,12,60.98
3,0,0,50.93,2,1,1,4.5,20,45.34
14,2,1,81.36,3,2,0,3.2,10,61.35
4,3,2,12.86,0,3,1,5.0,31,13.03
22,1,2,8.85,3,0,3,5.0,32,26.11
17,4,1,62.33,3,0,1,3.2,21,55.57
19,3,1,18.5,3,3,3,3.2,45,61.97
10,5,2,52.25,2,2,0,5.0,17,37.82
11,1,0,6.27,1,2,0,4.5,37,3.86
15,0,1,75.19,0,0,2,3.2,14,49.96
18,3,0,85.96,3,2,2,4.5,6,87.61
20,1,2,80.5,1,1,3,5.0,7,52.99
0,4,1,91.25,1,2,1,3.2,5,66.54
15,0,1,86.28,2,0,0,3.2,8,54.25
2,4,1,44.96,2,1,2,3.2,30,38.63
6,6,0,40.85,3,2,1,4.5,24,33.58
19,0,0,85.66,3,2,0,4.5,6,75.61
6,2,2,88.42,3,3,0,5.0,4,71.54
19,5,0,92.56,0,3,2,4.5,3,64.78
11,3,0,74.15,0,0,2,4.5,10,34.75
5,1,0,23.18,0,0,0,4.5,31,0.0
8,1,2,90.05,2,1,2,5.0,3,81.68
12,5,0,90.24,2,3,3,4.5,4,63.99
18,6,2,64.95,3,1,3,5.0,12,72.07
14,2,1,82.16,3,3,1,3.2,10,85.67
22,3,2,55.51,3,0,0,5.0,16,44.37
20,5,1,89.97,0,3,2,3.2,6,63.32
18,1,0,13.45,2,0,2,4.5,35,20.83
14,1,1,82.76,3,3,3,3.2,9,73.67
6,5,1,10.0,3,3,2,3.2,50,32.37
9,1,0,35.52,1,1,2,4.5,26,32.72
2,5,1,17.18,3,1,2,3.2,46,35.07
8,3,0,48.12,1,2,2,4.5,21,44.81
22,6,2,25.9,0,2,1,5.0,26,33.96
10,0,2,90.69,1,0,1,5.0,3,61.18
2,6,0,55.34,1,0,1,4.5,18,30.11
15,1,1,85.8,3,3,1,3.2,8,67.06
23,0,1,30.03,0,3,3,3.2,38,37.35
20,5,0,7.34,0,0,1,4.5,37,0.0
6,3,1,74.81,2,3,1,3.2,14,53.9
10,5,0,68.21,2,3,3,4.5,13,65.15
12,0,0,54.09,2,3,0,4.5,18,45.42
5,0,2,78.38,0,0,1,5.0,8,50.76
6,3,1,80.61,1,2,1,3.2,11,46.73
5,6,2,57.91,3,0,1,5.0,15,43.36
23,2,1,91.93,0,0,1,3.2,4,63.21
17,5,2,69.77,3,0,3,5.0,11,73.15
20,6,2,65.92,0,1,1,5.0,12,36.02
19,6,1,37.53,0,2,1,3.2,34,35.92
23,3,1,5.2,3,0,1,3.2,52,8.83
2,4,1,26.68,1,0,3,3.2,40,23.44
21,3,2,73.75,2,1,3,5.0,9,63.64
1,4,1,68.89,1,0,0,3.2,17,45.78
11,3,1,34.79,2,3,0,3.2,36,35.63
14,3,0,61.3,1,0,0,4.5,15,33.83
8,3,2,22.58,1,1,1,5.0,27,25.44
3,4,1,28.73,3,1,2,3.2,39,45.6
4,5,0,90.27,2,0,0,4.5,4,48.85
19,6,1,42.19,2,3,2,3.2,32,55.53
7,4,1,27.05,3,0,1,3.2,40,43.75
7,0,0,48.84,1,1,3,4.5,20,58.74
22,4,2,39.83,3,2,2,5.0,21,47.65
3,2,2,70.66,2,1,1,5.0,10,50.59
21,0,2,91.59,3,1,2,5.0,3,84.39
22,0,1,58.26,1,0,0,3.2,23,40.21
14,4,0,58.2,2,1,1,4.5,17,37.81
3,6,0,37.84,0,0,1,4.5,25,5.28
3,3,2,55.82,0,1,0,5.0,15,33.81
6,3,0,33.74,0,1,1,4.5,27,4.57
