hour,day_of_week,previous_occupancy,current_occupancy,traffic_level,weather,event_level,parking_price,total_spaces,occupancy_percentage
16,5,49.11,71.02,3,0,3,4.84,16,78.53
11,5,28.22,26.57,1,3,1,7.47,79,15.07
7,3,72.47,82.29,3,0,3,4.08,142,67.89
5,2,8.1,9.45,0,3,3,7.44,21,0.0
13,0,54.01,63.29,0,3,3,2.26,40,62.89
16,5,82.14,81.65,1,0,2,3.85,128,58.71
22,6,40.04,24.74,0,1,0,6.91,90,0.0
10,3,80.41,84.15,3,1,0,6.76,34,56.59
3,3,18.22,28.12,1,1,3,3.44,13,28.87
19,5,87.65,81.93,0,1,3,5.57,67,63.32
15,4,76.23,74.59,2,1,3,6.82,93,62.91
16,0,40.2,56.18,3,2,2,6.1,128,54.02
2,4,16.76,23.54,3,1,3,5.27,134,19.18
7,6,51.84,45.59,0,0,1,2.42,74,21.67
18,5,65.34,62.77,3,1,0,1.94,69,53.89
19,3,16.6,24.9,1,3,1,5.19,141,23.56
10,3,88.99,100.0,3,3,3,4.5,119,84.99
19,1,73.64,89.83,2,0,2,2.93,39,82.64
20,4,90.65,89.89,2,2,3,3.26,106,71.78
9,1,31.93,54.25,3,3,3,3.85,110,51.5
21,2,44.01,58.55,3,0,3,4.47,42,55.34
6,1,26.61,27.12,0,0,0,3.84,147,9.95
5,2,29.64,26.06,2,0,0,3.82,51,22.04
16,2,18.08,25.37,0,1,1,2.19,87,13.15
15,0,16.27,28.57,3,3,0,6.69,79,28.59
3,5,65.37,49.07,2,1,3,5.15,107,41.25
19,3,19.12,23.5,0,1,0,2.38,137,11.88
4,6,17.01,5.12,1,1,1,4.04,65,2.63
19,1,53.11,71.0,3,1,2,4.0,64,76.27
0,4,68.36,46.07,2,3,0,5.1,115,20.4
19,1,75.02,73.16,0,0,2,5.15,144,48.96
18,3,57.22,62.13,3,1,0,5.37,138,47.22
18,3,23.14,37.64,2,2,3,5.69,116,46.97
15,3,56.59,46.71,0,0,2,2.12,109,44.01
11,4,61.32,68.59,1,0,1,3.33,118,43.58
16,5,28.23,32.41,3,3,2,1.6,141,47.81
6,2,18.0,23.13,1,1,1,4.23,11,18.95
18,5,88.31,61.51,0,0,0,4.08,93,38.94
13,1,13.64,29.46,2,1,0,5.91,14,1.64
11,2,29.95,42.28,3,0,0,2.5,91,36.47
12,2,25.83,37.9,2,0,2,5.29,65,35.51
13,6,85.28,88.82,3,0,2,3.34,52,78.21
0,0,50.18,33.84,0,2,1,3.79,135,9.1
3,2,91.09,75.63,2,1,2,5.82,110,57.3
5,2,79.54,59.08,2,1,1,1.93,90,57.31
2,5,72.94,54.99,3,3,0,3.56,134,55.87
10,3,20.91,34.81,2,1,2,3.85,23,42.26
16,6,35.99,49.99,3,0,1,5.79,101,46.91
15,5,78.82,49.51,0,0,2,2.7,32,33.23
11,4,93.52,82.54,0,2,2,7.18,42,45.59
20,5,84.01,82.12,2,2,0,7.49,36,53.36
13,1,90.36,62.03,0,1,0,6.41,86,19.87
1,3,62.77,60.42,3,0,0,3.3,98,41.53
18,4,48.45,40.95,0,0,0,5.48,116,30.47
13,1,51.32,42.74,2,1,0,2.0,72,40.33
15,0,46.26,47.64,1,2,3,6.73,142,40.03
13,0,18.94,36.24,2,2,3,4.6,62,36.61
13,5,32.52,38.36,2,2,3,2.56,32,40.7
2,4,13.13,14.7,1,0,1,3.46,15,18.64
13,1,12.97,14.7,1,2,1,6.3,27,15.53
19,5,33.07,35.29,2,3,1,6.72,72,36.92
7,4,64.95,73.63,2,0,3,4.62,68,66.66
14,5,60.23,50.51,2,2,1,4.38,130,34.68
0,6,55.35,40.56,1,0,2,6.0,27,28.87
8,6,72.4,59.75,1,3,0,6.46,46,38.04
10,1,43.04,38.61,0,2,3,6.09,148,33.99
23,5,44.79,63.46,3,2,2,3.81,14,58.42
5,2,51.62,46.86,0,2,3,5.35,69,31.31
6,2,10.99,12.5,1,2,1,6.64,37,15.05
9,4,57.35,69.16,3,1,2,2.41,85,61.39
23,4,72.52,75.67,3,3,1,3.83,147,62.76
20,2,28.73,31.15,1,0,1,1.84,42,37.92
0,6,81.93,71.15,1,3,1,3.95,62,49.87
5,1,28.96,16.18,1,3,0,6.13,73,0.96
19,0,51.19,66.18,2,3,1,2.68,122,64.42
1,0,83.7,50.92,0,0,2,4.75,148,30.2
20,5,71.43,56.17,3,1,0,1.72,23,59.46
6,2,56.85,71.72,3,2,1,6.89,78,55.52
22,3,61.05,45.93,1,2,0,6.42,116,19.61
7,4,14.8,15.48,0,2,2,4.65,11,20.33
10,3,67.94,67.58,2,2,1,5.73,123,56.34
15,4,60.07,62.1,2,0,0,2.12,44,47.94
3,0,12.61,13.73,2,3,2,6.57,83,13.55
13,1,16.19,23.36,0,1,3,5.79,147,17.01
12,6,92.39,73.54,2,3,3,2.22,99,74.79
18,3,21.03,30.86,0,2,3,7.38,149,20.01
23,1,85.62,73.63,1,2,0,1.64,95,50.39
15,2,29.83,25.98,2,2,0,5.27,39,17.68
9,2,40.65,52.37,3,3,3,2.53,107,66.18
9,1,54.99,57.16,2,3,2,5.82,96,51.95
10,2,61.33,52.89,0,2,2,1.92,53,56.89
19,5,49.8,68.21,2,2,3,1.99,20,63.96
7,0,36.36,33.84,0,0,0,4.3,101,6.68
4,2,49.88,39.93,0,0,2,7.46,91,25.36
8,3,68.06,62.2,0,2,2,3.16,119,46.45
0,3,40.68,43.95,3,1,3,5.18,27,49.35
2,6,54.07,32.5,1,1,1,4.61,85,20.47
2,6,39.13,39.2,2,2,2,6.55,125,18.23
18,2,34.69,70.1,3,0,3,3.23,135,66.14
17,3,31.89,42.38,3,1,1,4.83,142,40.77
16,0,25.16,32.99,3,0,0,7.2,39,29.96
11,4,73.47,48.95,0,3,1,3.5,34,33.8
17,1,93.55,93.18,1,2,2,4.14,91,75.21
3,0,7.61,6.18,1,0,1,6.83,75,0.0
21,4,22.65,43.19,3,2,2,3.49,43,50.71
12,1,91.78,71.53,1,0,1,3.78,24,50.27
22,3,35.76,30.07,0,3,0,3.32,30,11.45
3,0,40.01,45.79,3,0,3,6.36,57,35.25
11,5,64.67,50.75,1,1,3,7.08,114,38.96
16,5,36.74,55.91,2,3,2,5.29,19,40.19
11,4,49.34,44.27,1,2,1,5.24,24,38.5
10,5,86.06,71.79,1,2,1,3.84,47,57.44
3,3,55.83,38.17,0,2,1,1.57,133,26.69
9,1,65.02,45.7,0,2,1,2.54,149,40.65
5,1,24.54,12.68,0,0,0,2.38,72,0.0
7,1,28.53,25.37,0,1,1,2.2,16,18.48
16,1,85.24,76.28,1,3,1,5.42,11,58.74
15,2,87.58,75.03,0,3,1,2.32,131,43.74
14,1,77.63,64.39,0,2,1,2.01,72,48.76
8,4,15.99,38.28,3,3,2,3.8,20,47.42
23,1,78.67,82.93,3,3,3,2.99,127,69.97
2,4,6.73,0.0,1,1,1,2.38,84,0.0
8,2,58.69,56.5,3,2,0,2.38,59,60.43
2,4,65.77,52.53,0,3,3,3.04,73,49.93
8,3,43.38,30.88,0,0,0,4.72,41,10.33
23,6,48.13,40.37,1,3,3,6.05,141,46.16
8,3,71.77,73.03,1,1,2,6.62,121,47.33
21,2,85.54,78.73,0,1,2,6.01,38,39.84
11,4,22.04,29.82,3,1,1,5.27,113,36.72
16,4,17.46,48.7,3,1,2,6.95,35,38.56
10,3,61.7,67.5,1,1,2,4.62,73,63.19
6,3,25.77,28.72,1,2,3,5.3,115,22.96
18,3,22.48,28.09,2,3,0,3.97,15,30.1
23,2,23.31,44.41,3,1,0,3.46,112,23.77
6,2,22.72,17.54,1,0,1,3.49,41,22.05
18,6,47.94,45.25,2,3,0,2.39,108,49.92
6,4,91.8,91.85,0,1,3,6.28,80,56.41
17,0,79.53,70.28,2,2,0,1.83,13,65.51
18,6,53.9,68.28,3,1,0,5.55,117,53.41
10,4,12.3,15.71,1,0,1,6.69,46,7.73
17,0,65.56,69.17,2,1,1,4.48,144,64.86
6,5,45.6,52.44,2,1,1,1.92,128,38.95
1,4,75.05,60.77,2,3,2,4.07,37,49.29
2,6,49.46,44.31,2,2,2,3.56,94,25.3
10,3,65.14,84.12,3,2,3,7.41,61,65.72
21,3,23.0,14.25,0,0,1,5.65,94,5.03
3,2,79.99,92.27,3,0,3,5.83,88,69.04
10,2,75.15,81.37,3,1,0,4.59,51,69.48
16,4,38.66,47.34,3,3,0,5.76,101,39.7
4,5,91.73,63.4,1,0,1,5.84,46,25.38
17,6,19.44,42.38,2,3,0,1.9,137,32.69
7,5,6.8,10.41,1,3,0,2.84,143,21.84
19,4,73.68,75.75,3,1,1,1.58,33,70.17
13,3,59.05,63.54,1,0,2,4.56,112,42.72
13,2,14.98,9.98,1,0,1,6.75,141,0.0
4,5,19.36,17.39,2,0,1,5.16,27,3.61
11,2,16.78,12.67,0,3,0,4.5,114,0.0
20,1,20.02,14.49,1,3,0,7.06,142,3.6
0,6,46.53,24.54,0,2,3,2.53,41,21.51
18,4,9.59,19.39,1,0,0,1.95,92,8.65
11,2,51.74,55.07,1,3,2,7.0,122,32.6
17,6,59.48,51.07,0,2,2,6.92,57,35.76
15,6,70.46,55.47,3,3,0,5.6,43,38.13
10,2,90.14,83.7,1,1,0,2.98,65,56.1
7,3,12.42,26.64,1,0,1,7.32,57,19.55
15,3,8.16,11.35,0,3,2,6.09,112,1.2
3,4,17.52,26.06,3,0,0,5.54,62,14.38
14,6,35.36,52.15,3,0,3,2.84,63,49.65
2,3,52.28,51.17,1,0,1,4.58,143,16.98
15,5,5.39,15.53,1,0,1,6.44,91,0.0
15,4,67.31,55.74,1,2,3,6.66,141,45.96
2,6,91.12,65.99,3,0,0,4.87,110,53.13
18,2,27.48,34.51,0,3,3,4.64,134,30.62
9,2,5.79,29.34,2,3,2,5.69,37,31.7
18,2,72.79,76.29,3,0,1,4.67,142,70.41
0,6,74.3,50.61,3,3,0,4.01,143,45.51
4,4,8.92,17.54,3,0,0,2.01,15,11.23
11,1,60.56,77.6,3,1,3,2.26,60,72.12
4,0,26.86,14.62,0,2,1,6.06,68,5.96
7,3,61.96,63.08,0,0,3,1.65,69,59.96
15,5,70.37,53.9,0,0,3,1.81,119,50.07
3,3,25.05,20.38,2,0,1,6.93,108,13.4
16,3,28.47,33.13,1,2,1,5.72,40,32.2
2,5,60.04,41.14,0,0,1,1.53,95,22.21
4,3,57.4,53.12,2,0,2,3.37,147,35.4
14,6,84.76,64.72,0,0,2,6.08,72,37.03
19,4,50.93,50.09,1,3,1,4.01,140,42.86
4,5,76.98,44.65,1,3,2,4.31,101,42.65
7,5,70.88,88.28,3,3,2,4.25,140,76.09
22,4,64.91,42.14,2,0,0,2.71,137,35.36
23,0,22.26,36.98,2,1,2,5.83,12,24.06
13,2,29.87,48.77,3,3,3,2.12,122,62.87
10,0,56.01,55.47,0,2,3,4.54,36,45.19
8,3,10.93,21.82,1,0,1,2.52,126,18.28
14,1,9.05,16.88,3,0,0,1.78,123,26.54
14,3,9.48,33.4,2,3,3,2.36,46,45.69
7,2,87.92,71.11,0,3,3,6.72,19,55.73
0,0,67.0,54.53,0,1,3,2.56,69,34.98
3,0,80.31,49.08,0,0,1,3.17,52,28.59
23,3,91.71,67.04,0,0,1,2.33,88,43.47
10,0,68.09,69.22,2,0,2,5.91,21,49.9
11,5,51.38,37.84,0,3,1,4.17,16,20.11
11,5,48.11,63.16,3,3,3,7.16,71,36.58
18,4,72.14,72.69,2,1,1,5.49,118,63.52
1,1,83.11,77.37,3,3,1,4.69,54,64.99
1,5,79.67,71.67,1,3,3,5.44,55,59.54
6,4,49.37,56.7,3,3,1,1.74,33,58.64
11,2,74.62,63.5,1,3,0,7.2,49,34.08
16,0,47.89,77.66,2,2,3,7.24,52,70.04
11,3,39.59,22.61,0,3,1,3.16,46,15.79
10,5,31.79,56.42,3,2,2,5.27,58,43.01
22,0,9.91,35.95,2,3,2,2.71,49,34.81
3,0,23.1,11.67,0,1,0,4.78,105,0.0
13,2,70.7,79.23,3,0,0,6.12,57,46.28
13,3,20.45,54.14,3,2,3,7.14,116,37.05
11,3,86.11,59.64,0,1,0,3.54,95,33.69
19,2,12.07,32.87,3,1,1,5.66,100,35.6
6,1,9.6,32.63,2,2,3,5.8,92,28.98
22,0,48.3,35.41,1,2,0,2.83,140,40.57
7,0,25.04,60.01,2,1,2,5.27,46,46.4
13,0,14.27,30.79,3,0,0,5.43,148,21.57
12,4,10.39,20.81,1,2,2,6.08,39,6.58
20,5,52.46,43.9,2,1,2,7.5,29,36.3
10,3,28.35,27.18,0,0,0,1.74,126,14.68
6,0,55.02,50.31,3,0,1,2.71,136,45.87
0,2,18.35,33.53,3,2,2,2.37,23,46.13
8,6,7.2,2.67,0,1,3,2.43,94,12.85
19,1,7.45,35.05,1,1,2,4.23,82,22.73
0,3,15.14,7.93,0,0,2,6.77,41,0.0
21,3,76.64,52.34,1,0,1,4.19,83,39.86
13,2,45.37,37.55,1,2,0,5.51,106,20.64
3,3,61.15,63.14,3,3,3,3.76,90,60.52
7,3,83.75,86.85,2,1,3,3.42,83,72.43
13,3,24.13,42.03,3,3,0,6.51,134,38.69
7,5,83.42,84.73,3,2,1,5.43,41,78.59
2,4,72.11,63.49,2,1,1,3.61,97,45.17
15,0,70.61,49.1,0,2,0,6.98,54,14.03
16,0,83.37,97.01,3,0,3,4.49,147,95.87
2,2,16.33,9.6,3,1,0,2.63,45,19.7
6,6,53.65,38.43,0,2,0,4.4,132,16.12
5,0,48.52,25.63,0,3,1,5.55,99,17.93
15,0,64.76,82.86,3,0,3,3.7,40,69.09
17,4,26.42,31.55,1,3,0,6.56,116,14.73
17,3,16.46,32.49,1,2,1,4.7,44,28.94
22,1,92.61,81.52,1,0,2,4.31,46,51.09
18,1,46.91,68.42,3,3,0,6.65,58,46.29
7,4,25.88,17.71,1,3,0,4.28,106,21.09
2,3,16.58,8.14,1,1,0,3.99,65,0.0
14,4,58.42,40.34,1,0,0,2.12,90,20.68
21,1,18.3,2.83,0,1,1,3.67,87,0.0
23,3,21.47,20.29,0,3,3,3.88,37,15.47
5,6,90.69,80.5,1,0,3,2.58,42,56.51
5,2,7.62,5.28,0,1,2,5.03,53,0.0
0,2,21.81,33.17,3,1,3,2.36,41,45.68
3,1,65.41,49.51,1,0,0,2.84,139,24.67
13,4,24.52,36.46,2,2,2,4.87,63,31.21
13,0,21.37,28.68,1,3,1,3.11,67,21.09
8,1,55.09,61.92,3,0,0,5.34,104,37.0
7,4,67.64,70.5,1,3,2,5.64,121,55.64
19,0,43.76,39.36,0,3,1,3.31,107,37.53
11,6,75.32,76.56,1,3,3,2.02,87,66.25
19,2,78.37,58.94,0,2,1,4.44,147,49.99
23,2,61.08,57.37,2,1,1,2.06,136,52.16
7,3,57.0,63.72,2,0,0,4.59,38,59.51
4,4,78.47,56.42,1,3,1,5.86,32,30.28
22,3,6.35,6.56,1,2,0,5.22,65,1.01
15,6,50.96,68.71,2,1,2,4.19,127,49.77
6,6,16.59,33.87,2,1,1,7.18,146,11.18
14,1,24.94,37.95,3,0,1,2.11,109,32.01
12,4,90.41,77.3,3,1,1,6.78,107,61.66
21,2,5.33,1.59,0,3,3,6.3,42,8.9
6,6,32.63,44.46,2,2,2,4.02,93,29.69
23,1,18.89,34.46,0,1,3,2.42,35,18.34
22,2,56.34,52.33,1,0,1,2.44,86,34.97
4,4,80.98,52.33,2,1,1,7.03,37,31.67
3,5,40.18,30.05,2,0,0,2.9,20,20.6
12,0,80.35,77.44,3,1,2,6.74,146,54.98
1,3,44.62,40.26,3,0,0,4.52,135,23.29
7,2,86.81,100.0,3,3,3,4.27,106,82.18
10,4,81.23,87.01,2,0,2,5.22,98,59.48
23,3,21.09,33.22,2,0,1,2.79,43,22.97
23,6,84.66,81.63,3,2,2,4.07,90,67.55
3,6,22.33,20.98,0,1,3,7.13,115,0.0
21,4,49.14,35.32,1,3,0,2.93,86,28.39
2,4,22.64,25.19,1,1,2,7.03,49,0.0
17,6,39.78,54.29,2,2,3,7.47,65,47.1
20,1,93.7,74.71,1,3,2,1.81,128,64.53
21,5,73.86,64.89,0,3,2,4.69,45,35.61
5,5,54.87,36.88,3,3,2,2.53,145,42.29
21,0,89.19,70.41,2,2,0,5.23,116,36.67
2,6,37.37,43.2,2,3,3,7.44,135,24.39
12,4,20.59,42.4,3,1,1,6.88,81,33.11
11,2,79.61,79.62,3,3,1,7.05,41,47.86
7,3,6.1,31.68,3,3,3,2.78,14,54.77
0,3,77.41,52.38,1,1,0,4.75,85,21.23
18,6,6.97,16.06,0,0,1,2.91,66,7.25
8,6,30.59,48.95,1,2,2,6.9,26,42.21
15,5,36.99,46.08,3,0,0,2.65,140,28.27
9,4,33.67,58.74,3,0,2,2.42,146,66.12
8,0,26.91,32.83,0,3,2,1.57,62,34.14
21,6,14.74,20.11,3,2,1,2.59,104,24.53
2,0,5.29,0.0,1,2,0,2.64,68,1.26
17,1,74.72,77.69,3,3,1,1.96,80,81.27
17,0,46.12,67.1,2,3,3,6.71,97,61.53
9,6,19.57,21.58,0,3,2,6.18,68,13.49
6,3,12.4,29.93,1,0,3,3.03,123,16.88
0,1,30.06,16.08,0,1,2,6.2,36,0.0
22,0,36.89,39.08,1,3,3,4.03,104,46.31
22,2,46.53,70.36,3,0,3,6.15,148,64.72
5,5,14.09,23.52,2,0,2,3.44,129,15.1
0,6,93.19,68.95,2,2,1,4.89,16,38.59
2,3,29.19,25.2,2,1,2,3.79,26,20.18
1,4,44.72,42.84,0,0,3,2.63,98,24.11
19,5,68.81,74.68,2,3,1,5.01,140,55.34
21,6,32.92,35.17,1,1,1,6.0,129,9.61
3,1,12.42,21.7,2,1,3,6.02,137,19.93
17,6,38.89,33.34,0,2,2,3.64,31,34.15
4,3,54.76,41.32,2,2,0,4.61,83,35.21
8,6,80.76,85.0,2,1,1,6.08,112,56.76
14,0,38.11,30.08,1,3,1,1.83,98,31.12
17,0,85.06,72.57,0,1,1,1.93,119,62.27
20,6,54.15,60.44,0,3,3,3.76,40,51.2
1,4,69.57,56.96,1,3,3,2.84,74,43.42
4,1,7.71,18.66,2,0,3,3.75,73,21.97
6,6,85.62,73.19,3,3,2,2.06,142,71.23
7,0,24.21,44.79,2,0,2,5.05,38,41.64
23,4,34.33,32.53,1,1,2,5.53,56,25.35
18,1,52.13,42.65,1,3,1,6.25,13,49.61
7,0,91.38,64.12,0,0,0,5.4,31,36.45
23,5,36.11,25.46,0,2,0,3.88,148,1.06
11,5,24.85,12.83,0,3,2,7.11,129,0.0
12,0,91.47,79.15,3,1,2,5.86,46,66.5
10,0,77.76,68.9,0,0,1,4.67,108,47.11
3,4,64.71,53.08,3,0,0,2.74,93,36.59
22,0,41.87,33.75,2,2,0,5.39,137,28.56
0,5,42.84,32.6,2,0,1,5.05,52,18.11
4,6,90.56,94.37,3,0,3,5.6,150,66.32
5,5,11.21,26.04,3,3,1,6.19,62,7.37
6,1,73.18,63.93,0,2,3,6.99,111,54.46
3,1,59.1,67.27,3,1,3,7.19,66,51.09
0,4,92.16,71.2,0,0,3,5.28,104,55.71
16,0,55.26,56.37,2,3,3,7.3,57,54.16
23,3,30.25,18.11,2,2,0,6.97,128,15.01
2,3,75.19,51.77,0,0,3,1.52,99,38.84
7,5,93.71,81.44,2,3,3,5.33,50,87.69
12,1,86.67,86.3,2,0,3,2.57,145,79.63
22,5,31.53,31.85,3,2,0,3.27,109,32.31
16,4,36.17,55.02,3,2,1,3.29,70,51.09
18,1,72.93,75.6,1,1,2,4.4,29,75.06
13,2,58.84,57.19,2,3,0,1.57,147,58.15
10,0,6.05,29.84,3,2,3,2.91,116,43.34
4,3,17.77,12.4,0,1,1,1.67,104,4.49
20,1,12.69,12.45,2,0,0,5.4,127,9.66
19,0,21.09,46.16,3,1,1,6.84,95,26.48
0,3,32.44,27.92,0,1,1,7.49,42,9.03
17,3,92.05,100.0,3,2,2,4.19,43,97.02
2,0,65.88,46.2,0,1,2,3.06,21,29.42
17,1,9.93,27.12,1,0,1,6.62,18,4.5
19,0,59.66,62.22,3,2,2,2.18,112,72.26
3,4,44.3,38.58,3,1,3,7.35,130,27.17
10,2,72.86,74.73,2,1,1,5.79,33,49.05
2,0,84.55,76.03,2,2,1,4.52,90,54.41
13,1,10.87,4.21,1,3,0,2.08,27,16.92
22,6,93.19,84.21,3,0,1,1.61,68,68.75
1,1,10.21,16.42,2,3,1,4.77,121,17.34
9,4,70.91,78.76,3,2,3,3.98,124,82.52
23,3,86.28,69.75,2,2,0,6.56,143,36.89
7,1,72.65,69.6,0,0,2,5.35,53,46.02
3,2,18.57,28.13,2,2,3,4.09,143,32.99
11,0,23.72,36.87,3,2,1,2.86,120,32.77
12,5,8.71,12.39,3,2,0,4.38,57,17.56
15,2,16.8,24.88,1,3,2,2.48,56,24.99
7,3,10.49,17.77,0,3,2,5.5,25,22.48
22,1,9.83,27.67,3,3,2,5.13,139,32.69
12,5,55.59,61.24,3,1,3,6.36,38,52.07
6,1,11.9,23.38,3,2,0,4.2,47,25.8
23,3,43.26,35.07,2,0,0,3.17,68,14.04
22,6,68.87,66.67,3,2,1,6.52,29,43.76
11,4,6.36,15.03,1,0,2,5.65,123,4.99
0,4,62.5,57.47,3,1,3,5.74,108,57.22
14,6,73.15,50.03,1,2,2,4.67,32,33.58
13,1,53.3,60.01,3,1,0,6.76,32,39.58
3,6,47.8,41.64,0,3,3,2.87,13,34.25
15,3,70.78,54.32,1,0,1,3.91,143,38.9
20,2,52.68,54.7,0,3,3,6.28,71,38.41
2,1,50.84,30.43,1,2,1,2.3,102,20.64
17,5,77.16,85.41,3,1,3,6.35,31,75.89
3,6,80.38,52.16,0,0,2,3.62,42,38.23
17,4,38.16,50.53,2,0,2,2.25,86,48.27
10,0,42.39,67.05,3,1,3,1.97,39,59.14
0,3,77.07,54.68,2,2,0,6.56,96,34.65
23,5,54.04,48.53,2,2,1,6.17,140,40.71
3,2,66.81,45.31,0,1,0,3.23,53,15.16
14,5,11.77,28.9,2,2,3,2.2,95,41.8
4,4,13.58,9.64,0,2,3,2.98,139,12.26
22,0,52.86,51.75,0,1,3,2.78,136,33.94
17,3,78.73,85.63,3,1,0,5.9,11,63.1
19,1,33.49,52.5,2,1,1,2.79,25,44.51
10,3,91.46,80.58,3,2,1,2.8,149,77.01
11,2,73.43,60.95,1,2,3,1.69,140,57.68
15,5,75.35,76.25,1,0,3,5.08,55,60.94
18,6,80.06,87.63,3,3,3,5.63,83,87.36
20,3,27.9,26.69,2,0,3,5.42,90,20.18
0,3,34.73,38.9,3,2,3,4.91,104,30.91
15,4,15.66,12.2,0,0,1,7.3,115,0.0
2,4,39.23,36.06,2,1,2,4.34,62,26.48
6,4,8.22,34.28,3,2,2,6.66,135,26.71
19,5,72.63,65.79,3,3,0,5.38,18,61.83
6,6,77.23,82.15,2,2,3,2.0,14,78.67
19,5,24.23,24.44,0,0,0,6.36,145,0.0
11,0,49.09,48.34,2,3,3,5.01,34,36.89
5,3,65.48,40.91,0,1,1,5.42,150,16.39
8,3,71.83,75.18,3,1,0,2.58,50,60.54
12,3,92.25,84.7,2,0,2,4.12,61,67.6
18,3,23.06,30.26,0,2,1,6.78,13,18.74
14,5,27.21,27.48,2,1,1,2.79,143,16.73
22,2,81.85,84.81,2,0,3,1.5,60,88.17
20,1,13.75,15.11,0,2,2,3.05,33,15.08
18,3,75.73,87.35,0,0,2,4.43,78,57.47
14,5,17.0,13.0,0,2,3,6.43,31,10.06
6,2,46.8,64.58,0,2,3,5.36,121,44.25
